RG,NASC mês/ano,NOME,GEN,PAI,IPP DEP,IPP AC,IPP TOP,3P DEP,3P AC,3P TOP,STAY DEP,STAY AC,STAY TOP,MP120 DEP,MP120 AC,MP120 TOP,PE365 DEP,PE365 AC,PE365 TOP,NF 3P,NR 3P,MGTe VAL,MGTe AC,MGTe TOP,PAC DEP,PAC AC,PAC TOP,MP210 DEP,MP210 AC,MP210 TOP,P450 DEP,P450 AC,P450 TOP,NN 120,NRN 120,P120 DEP,P120 AC,P120 TOP,P210 DEP,P210 AC,P210 TOP,NF 210,NR 210,NF 450,NR 450,NF,PE365,NR,STAY,AOL DEP,AOL AC,AOL TOP,ACAB DEP,ACAB AC,ACAB TOP,US,MAR DEP,MAR AC,MAR TOP,MAR,ES DEP,ES AC,ES TOP,PS DEP,PS AC,PS TOP,MS DEP,MS AC,MS TOP,SAMS,CAR DEP,CAR AC,CAR TOP,IMS DEP,IMS AC,IMS TOP,IPM DEP,IPM AC,IPM TOP,MGTe_CR DEP,MGTe_CR AC,MGTe_CR TOP,MGTe_RE DEP,MGTe_RE AC,MGTe_RE TOP,MGTe_CO DEP,MGTe_CO AC,MGTe_CO TOP,MGTe_F1 DEP,MGTe_F1 AC,MGTe_F1 TOP,IPP,P365 DEP,P365 AC,P365 TOP
REMC 8332,09/14,REM DULLDOG,G,REMC 5326,,,,,,,,,,1.77,80,27%,1.53,93,3%,,,24.41,86,3%,,,,,,,26.87,95,3%,,,10.53,94,1%,16.45,94,2%,5110,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZAN 2193,09/17,RAM DA BELA,G,BONS 2612,,,,,,,,,,1.45,57,34%,1.71,82,2%,,,26.90,75,1%,,,,,,,29.96,85,2%,,,9.96,81,2%,16.44,82,2%,285,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FVCP 966,08/19,CAIRO FIV FVC,G,FVC 11452,,,,,,,,,,4.13,55,3%,0.63,79,20%,,,28.07,71,0.5%,,,,,,,35.70,78,0.5%,,,10.15,73,2%,16.40,74,2%,56,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOAL 5627,07/19,BRUTÃO FIV DA 3A,G,REMC 5326,,,,,,,,,,4.73,56,2%,1.43,79,3%,,,27.55,72,1%,,,,,,,33.13,79,0.5%,,,8.46,76,3%,16.36,77,2%,140,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAPM 6393,07/16,MAXIMO KA,G,REMC 5326,,,,,,,,,,4.13,58,3%,1.38,80,4%,,,27.56,72,1%,,,,,,,29.65,80,2%,,,8.18,71,4%,16.18,73,2%,77,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDM A3151,10/19,ESTANHO MAT.,G,RDM 7698,,,,,,,,,,4.94,56,2%,1.90,79,1%,,,30.51,72,0.5%,,,,,,,31.90,79,1%,,,8.65,77,3%,16.03,78,2%,137,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAT 3881,09/19,LUCK FIV KATISPERA,G,REMC 8053,,,,,,,,,,5.84,56,0.5%,1.53,79,3%,,,28.71,71,0.5%,,,,,,,34.84,79,0.5%,,,8.44,75,3%,15.90,76,2%,51,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSH B123,09/16,LIDER DP,G,1.00,,,,,,,,,,59,45%,8.58,85,14%,408,,,75,3%,,,,,,,,86,3%,0.82,,,81,3%,15.79,83,2%,26.82,4,23.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDM 9046,08/16,BANDOLEIRO MAT.,,RDM 7142,,,,,,,,,,1.18,20,41%,1.39,58,4%,,,24.59,41,2%,,,,,,,31.20,68,1%,,,9.41,59,2%,15.62,61,2%,87,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BONS 2612,08/13,MARANHAO BONS,G,REM 4668,,,,,,,,,,1.37,61,36%,1.39,82,4%,,,19.31,75,9%,,,,,,,25.02,83,4%,,,10.12,76,2%,15.61,78,2%,191,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPO 2683,11/16,TNT,G,MNS 3981,,,,,,,,,,0.75,71,52%,1.39,90,4%,,,24.92,83,2%,,,,,,,27.52,93,2%,,,9.18,90,2%,15.50,91,2%,1969,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REMP 726,10/18,REM HUJALA FIV GEN AD,G,REM 8933,,,,,,,,,,3.09,56,8%,1.45,82,3%,,,27.89,74,0.5%,,,,,,,40.57,83,0.1%,,,13.13,78,0.5%,21.12,80,0.5%,,,158,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REM A2239,11/17,REM GRINGO GEN ADITIV,G,REM 9852,,,,,,,,,,2.41,57,15%,1.61,81,2%,,,29.69,73,0.5%,,,,,,,39.88,81,0.1%,,,9.98,73,2%,18.60,75,0.5%,,,100,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SINO 1730,01/19,EL ZORRERO SINO,G,REM A7,,,,,,,,,,1.79,56,26%,1.31,89,5%,,,28.33,79,0.5%,,,,,,,35.92,92,0.5%,,,11.84,90,0.5%,19.72,91,0.5%,,,1406,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BONN 1954,08/16,QUILOMBO FIV BONS,G,REM 6447,,,,,,,,,,1.37,58,36%,1.72,81,2%,,,26.05,73,2%,,,,,,,34.25,82,0.5%,,,10.14,73,2%,17.64,75,1%,,,135,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REM 10073,08/18,REM HOVER GEN ADT,G,REMC 9891,,,,,,,,,,5.19,37,1%,1.57,75,2%,,,27.25,61,1%,,,,,,,34.11,79,0.5%,,,8.88,72,3%,16.59,75,2%,,,149,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSCR 1135,09/17,TAJ FIV DE NAVIRAI,G,CSCN 14076,,,,,,,,,,2.22,58,18%,1.33,82,4%,,,24.61,74,2%,,,,,,,33.38,83,0.5%,,,11.21,78,0.5%,19.28,79,0.5%,,,157,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REMP 602,09/18,REM HORUS GEN ADT,G,REM A149,,,,,,,,,,7.51,56,0.1%,3.17,85,0.1%,,,31.61,77,0.1%,,,,,,,32.07,88,1%,,,11.04,85,1%,19.31,86,0.5%,,,438,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REM 8933,10/13,REM CALDONEGRO,G,REM 5589,,,,,,,,,,3.44,85,6%,0.91,92,12%,,,25.01,87,2%,,,,,,,31.97,95,1%,,,10.52,94,1%,18.28,94,1%,,,3810,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAPM 5886,10/15,LOGAN KA,G,KAPM 1905,,,,,,,,,,2.24,61,18%,0.95,82,11%,,,24.01,74,3%,,,,,,,31.91,83,1%,,,13.02,76,0.5%,20.46,78,0.5%,,,177,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDM 9046,08/16,BANDOLEIRO MAT.,,RDM 7142,,,,,,,,,,1.18,20,41%,1.39,58,4%,,,24.59,41,2%,,,,,,,31.20,68,1%,,,9.41,59,2%,15.62,61,2%,,,70,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REMC A2199,09/18,REM HARDROCK GEN ADT,G,REM A149,,,,,,,,,,3.66,56,5%,1.83,82,1%,,,27.63,73,1%,,,,,,,31.04,83,1%,,,7.97,77,4%,13.91,78,4%,,,136,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REM A1576,08/17,REM GALO GENETICA ADI,G,REM A7,,,,,,,,,,1.52,63,32%,1.72,88,2%,,,27.11,79,1%,,,,,,,30.98,91,1%,,,7.77,88,5%,15.16,89,3%,,,833,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZAP 927,08/13,LEGAL DA BELA,G,ZAN 14,,,,,,,,,,2.58,72,13%,0.15,88,47%,,,21.29,82,6%,,,,,,,30.98,87,1%,,,8.47,81,3%,14.88,83,3%,,,151,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REM A2065,10/17,REM GPS,G,REM 6447,,,,,,,,,,1.66,59,29%,0.96,83,10%,,,25.64,76,2%,,,,,,,30.85,85,1%,,,11.28,78,0.5%,17.70,80,1%,,,276,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKF 4,09/18,WKF4 ARABE,G,REMC 5326,,,,,,,,,,4.07,30,3%,1.20,72,6%,,,28.12,55,0.5%,,,,,,,30.27,78,2%,,,10.00,71,2%,17.06,72,1%,,,145,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORA 2920,07/17,GOLD DA HORA,G,REMC 5326,,,,,,,,,,3.79,57,4%,1.55,80,3%,,,27.33,73,1%,,,,,,,30.07,82,2%,,,7.81,76,4%,14.97,78,3%,,,111,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDM A1196,08/18,DON QUIXOTE MAT.,G,BRMG 2299,,,,,,,,,,1.74,56,27%,1.52,88,3%,,,24.96,78,2%,,,,,,,30.05,91,2%,,,8.91,91,3%,13.79,92,4%,,,735,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZAN 2193,09/17,RAM DA BELA,G,BONS 2612,,,,,,,,,,1.45,57,34%,1.71,82,2%,,,26.90,75,1%,,,,,,,29.96,85,2%,,,9.96,81,2%,16.44,82,2%,,,204,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDM A1575,09/18,DODGE MAT.,G,RDM 5049,,,,,,,,,,2.20,56,19%,0.28,84,38%,,,25.06,76,2%,,,,,,,29.68,87,2%,,,10.22,83,1%,17.40,84,1%,,,360,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAPM 6393,07/16,MAXIMO KA,G,REMC 5326,,,,,,,,,,4.13,58,3%,1.38,80,4%,,,27.56,72,1%,,,,,,,29.65,80,2%,,,8.18,71,4%,16.18,73,2%,,,64,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REMP 816,10/18,REM HERMOSO FIV GEN A,G,REM A7,,,,,,,,,,1.97,57,23%,2.22,84,0.5%,,,27.23,78,1%,,,,,,,29.48,88,2%,,,6.41,90,8%,14.35,90,3%,,,317,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAPO 1981,11/17,NOBEL KA,G,KAPO 330,,,,,,,,,,1.08,56,43%,1.85,81,1%,,,27.12,73,1%,,,,,,,29.22,83,2%,,,11.37,79,0.5%,18.18,80,1%,,,148,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACNP 3146,07/17,BELO J MACHADO,G,REMC 5326,,,,,,,,,,1.51,82,32%,1.81,93,1%,,,26.33,85,2%,,,,,,,29.19,95,2%,,,7.34,94,5%,13.34,95,4%,,,3662,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMVA 1270,09/16,CONVENCIDO FIV DA JAC,G,REMC 5326,,,,,,,,,,1.53,72,32%,0.84,87,13%,,,26.83,82,1%,,,,,,,29.01,86,2%,,,11.67,79,0.5%,18.33,81,1%,,,47,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSCF 4553,12/17,4553 FIV DE NAV.,G,REMC 5326,,,,,,,,,,4.47,36,2%,1.47,67,3%,,,26.09,52,2%,,,,,,,29.00,67,2%,,,6.67,56,7%,11.82,59,7%,,,43,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REM A2332,11/17,REM GUAXUPE FIV,G,REMC 8332,,,,,,,,,,2.83,69,10%,0.35,86,33%,,,24.17,80,3%,,,,,,,28.98,85,2%,,,11.10,78,1%,17.96,80,1%,,,51,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACNP 3165,07/17,BRUTHO J MACHADO,G,REMC 5326,,,,,,,,,,8.76,45,0.1%,1.72,74,2%,,,27.55,62,1%,,,,,,,28.78,74,2%,,,7.71,66,5%,11.92,68,6%,,,58,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FVCP 551,08/16,LIDER FIV FVC,G,FVC 8596,,,,,,,,,,1.00,72,45%,1.70,88,2%,,,25.62,82,2%,,,,,,,28.53,87,2%,,,7.20,80,6%,15.13,82,3%,,,95,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REM A1936,10/17,REM GARANTIDO,G,REM A7,,,,,,,,,,0.14,67,70%,2.32,91,0.5%,,,26.54,82,1%,,,,,,,28.44,94,2%,,,11.31,93,0.5%,19.17,94,0.5%,,,1806,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORA 3471,08/18,HERCULES DA HORA,G,RDM 7794,,,,,,,,,,3.17,56,7%,1.41,80,4%,,,25.92,72,2%,,,,,,,28.37,81,2%,,,6.95,76,7%,13.00,77,5%,,,81,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSH B722,11/17,METEORO DP,G,MGL 1714,,,,,,,,,,0.79,39,51%,1.71,71,2%,,,26.31,60,2%,,,,,,,28.23,73,2%,,,9.42,67,2%,15.38,69,2%,,,48,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REMC A223,08/16,REM FORMOSO,G,REMC 5326,,,,,,,,,,1.85,70,25%,1.39,87,4%,,,25.71,80,2%,,,,,,,28.22,91,2%,,,8.10,91,4%,14.26,91,3%,,,749,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REM A1811,09/17,REM GLADIADOR GEN ADT,G,REMC 8332,,,,,,,,,,5.57,77,1%,1.29,91,5%,,,26.28,83,2%,,,,,,,27.87,93,2%,,,6.31,91,9%,12.79,92,5%,,,2014,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FVC 9681,08/14,MUTRECO FVC,G,MNS 3981,,,,,,,,,,2.54,70,14%,1.33,84,4%,,,23.71,81,3%,,,,,,,27.85,92,2%,,,9.50,90,2%,14.68,90,3%,,,1044,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSH A9922,11/15,KALYAN DP,G,REM 6447,,,,,,,,,,3.36,57,6%,0.97,81,10%,,,23.41,74,3%,,,,,,,27.81,83,2%,,,8.35,77,3%,14.87,79,3%,,,123,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPO 2683,11/16,TNT,G,MNS 3981,,,,,,,,,,0.75,71,52%,1.39,90,4%,,,24.92,83,2%,,,,,,,27.52,93,2%,,,9.18,90,2%,15.50,91,2%,,,1559,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REMP 602,09/18,REM HORUS GEN ADT,G,REM A149,-1.17,53,7%,90.16,70,3%,,,,7.51,56,0.1%,3.17,85,0.1%,,,0.1%,,,,,,,,,32.07,88,1%,,,,,,,,,,,,,180,77,31.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REM A149,09/15,REM EMBAIXADOR,G,REMC 5326,-0.97,70,15%,88.70,79,6%,,,,1.97,68,23%,2.89,89,0.1%,,,3%,,,,,,,,,24.31,91,4%,,,,,,,,,,,,,435,81,23.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REM A1936,10/17,REM GARANTIDO,G,REM A7,-1.35,68,3%,90.62,78,3%,,,,0.14,67,70%,2.32,91,0.5%,,,1%,,,,,,,,,28.44,94,2%,,,,,,,,,,,,,747,82,26.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REMP 816,10/18,REM HERMOSO FIV GEN A,G,REM A7,-1.41,54,2%,88.41,71,6%,,,,1.97,57,23%,2.22,84,0.5%,,,1%,,,,,,,,,29.48,88,2%,,,,,,,,,,,,,146,78,27.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDM A1335,08/18,DAMASCO MAT.,G,BRMG 2299,-0.96,53,16%,88.47,70,6%,,,,3.69,56,5%,2.14,88,0.5%,,,3%,,,,,,,,,21.51,91,7%,,,,,,,,,,,,,351,78,24.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REM A7,08/15,REM ESPIAO007,G,REMC 5809,-1.11,82,9%,90.23,86,3%,,,,2.51,82,14%,2.11,93,0.5%,,,2%,,,,,,,,,26.13,95,3%,,,,,,,,,,,,,1533,86,24.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRMG 2299,08/15,ZAPP BEABISA,G,REMC 5326,-0.91,79,18%,85.63,85,14%,,,,5.19,80,1%,1.94,92,1%,,,4%,,,,,,,,,16.48,94,16%,,,,,,,,,,,,,1211,85,22.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REM A530,11/15,REM ETHIOS,G,REMC 5608,-0.67,55,34%,88.88,71,6%,,,,3.53,57,5%,1.84,82,1%,,,6%,,,,,,,,,24.33,81,4%,,,,,,,,,,,,,80,72,20.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REMC A2199,09/18,REM HARDROCK GEN ADT,G,REM A149,-0.95,53,16%,83.92,70,20%,,,,3.66,56,5%,1.83,82,1%,,,1%,,,,,,,,,31.04,83,1%,,,,,,,,,,,,,80,73,27.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL 24926,11/16,QUICKMAN FIV COL,G,REMC 5326,-1.82,55,0.1%,95.50,72,0.1%,,,,3.33,58,6%,1.82,83,1%,,,3%,,,,,,,,,17.95,85,13%,,,,,,,,,,,,,109,76,24.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACNP 3146,07/17,BELO J MACHADO,G,REMC 5326,-1.19,74,7%,83.24,81,22%,,,,1.51,82,32%,1.81,93,1%,,,2%,,,,,,,,,29.19,95,2%,,,,,,,,,,,,,1432,85,26.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BONS 3108,08/16,QUARUP BONS,G,REM 6447,-1.11,79,9%,85.76,84,13%,,,,3.17,77,7%,1.78,93,1%,,,5%,,,,,,,,,17.72,95,13%,,,,,,,,,,,,,1732,85,21.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REM A1072,10/16,REM FABULOSO,G,REMC 5326,-1.00,57,14%,86.49,72,11%,,,,2.99,59,9%,1.73,82,2%,,,4%,,,,,,,,,19.09,85,11%,,,,,,,,,,,,,61,75,22.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JRBT B6061,11/16,MANDAO JR TAR,G,REMC 5326,-1.18,71,7%,92.80,82,1%,,,,1.82,72,26%,1.72,88,2%,,,0.5%,,,,,,,,,25.31,88,4%,,,,,,,,,,,,,99,83,28.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REM A1576,08/17,REM GALO GENETICA ADI,G,REM A7,-1.24,63,5%,85.38,74,15%,,,,1.52,63,32%,1.72,88,2%,,,1%,,,,,,,,,30.98,91,1%,,,,,,,,,,,,,392,79,27.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BONN 1954,08/16,QUILOMBO FIV BONS,G,REM 6447,-0.87,56,21%,67.19,71,76%,,,,1.37,58,36%,1.72,81,2%,,,2%,,,,,,,,,34.25,82,0.5%,,,,,,,,,,,,,59,73,26.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZAN 2193,09/17,RAM DA BELA,G,BONS 2612,-0.82,55,24%,78.42,71,41%,,,,1.45,57,34%,1.71,82,2%,,,1%,,,,,,,,,29.96,85,2%,,,,,,,,,,,,,86,75,26.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3396,10/06,LITIO AJ,,AJ378503,-0.35,63,59%,86.28,71,12%,,,,5.42,67,1%,1.71,81,2%,,,7%,,,,,,,,,22.53,89,6%,,,,,,,,,,,,,196,73,20.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNS 3981,06/10,TRUCK DA ALO BRASIL,G,QUIL 7308,-1.02,89,13%,82.43,91,25%,,,,4.20,90,3%,1.70,95,2%,,,4%,,,,,,,,,19.56,97,10%,,,,,,,,,,,,,3044,93,22.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIA B4542,10/15,EQUADOR DA JANDAIA,,REMC 5326,-1.00,21,14%,82.41,20,25%,,,,3.09,21,8%,1.62,69,2%,,,4%,,,,,,,,,20.66,69,8%,,,,,,,,,,,,,71,42,22.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBMN D1564,10/06,CORONEL DA MN,G,LBMN C8398,-0.85,82,22%,80.17,86,34%,,,,0.18,84,68%,1.61,93,2%,,,17%,,,,,,,,,13.58,94,24%,,,,,,,,,,,,,1203,87,15.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REM A1553,08/17,REM GURU,G,REMC 8332,-0.76,62,27%,77.63,74,44%,,,,4.64,62,2%,1.61,89,2%,,,3%,,,,,,,,,22.10,93,7%,,,,,,,,,,,,,463,80,23.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JHVM16277,08/17,GALATICO FIV CAMPARIN,G,REMC 5326,-0.62,56,37%,78.97,72,39%,,,,2.93,59,9%,1.58,81,2%,,,14%,,,,,,,,,13.31,81,24%,,,,,,,,,,,,,52,73,16.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDM 6023,09/12,SHERLOCK  MAT.,G,RDM 4305,-0.53,89,44%,77.34,91,45%,,,,0.21,89,68%,1.57,95,2%,,,12%,,,,,,,,,18.54,96,12%,,,,,,,,,,,,,2407,92,17.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGM 4737,04/17,JOCKER FIV RG,G,REMC 5326,-0.85,56,22%,84.68,72,17%,,,,2.17,58,19%,1.57,83,2%,,,6%,,,,,,,,,19.69,85,10%,,,,,,,,,,,,,97,76,20.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAGA 2984,08/13,2984 SAGA,G,REM 5589,-1.11,47,9%,84.46,48,18%,,,,4.25,50,3%,1.57,78,2%,,,3%,,,,,,,,,20.92,81,8%,,,,,,,,,,,,,111,62,23.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REM 10073,08/18,REM HOVER GEN ADT,G,REMC 9891,-0.85,34,22%,85.33,54,15%,,,,5.19,37,1%,1.57,75,2%,,,1%,,,,,,,,,34.11,79,0.5%,,,,,,,,,,,,,62,61,27.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSCC 6410,08/18,UTAR DE NAVIRAI,G,BRMG 2299,-1.05,36,12%,88.14,53,7%,,,,4.28,38,3%,1.56,73,2%,,,4%,FERTILIDADE,,,,,,,,18.03,77,13%,,,,,,,,,,,,,47,61,22.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REM 4668,10/07,REM SABIÁ,G,REMC 222,-0.99,76,14%,86.79,83,10%,91.82,82,2%,1.27,80,38%,,,,,,6%,,,,,,,,,18.15,92,12%,,,,,,,,,,,,,409,,20.93,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBMN D6829,10/11,EROS DA MN,G,LBMN D1564,-1.12,38,9%,83.19,32,22%,91.58,45,2%,2.61,42,13%,,,,,,9%,,,,,,,,,16.29,69,16%,,,,,,,,,,,,,26,,19.15,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAU 1272,09/10,JEPEANTE DA PAULETE,,L4810,-0.94,58,17%,83.79,65,20%,91.32,56,3%,2.92,61,10%,,,,,,14%,,,,,,,,,6.86,85,49%,,,,,,,,,,,,,68,,16.83,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REMC 5326,08/11,REM ARMADOR,G,REMC 3462,-1.40,93,2%,88.10,94,7%,90.72,92,3%,2.52,94,14%,,,,,,3%,,,,,,,,,20.23,97,9%,,,,,,,,,,,,,3298,,24.52,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMEL 329,09/11,OMEL GALHO,G,REMC 3462,-0.86,45,21%,72.43,61,62%,89.58,55,4%,2.03,48,22%,,,,,,10%,,,,,,,,,19.71,75,10%,,,,,,,,,,,,,28,,18.56,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIA A8692,09/09,TIGRE DA JANDAIA,,CEN 3120,-1.17,57,7%,88.32,61,7%,89.12,55,5%,2.96,59,9%,,,,,,2%,,,,,,,,,25.26,88,4%,,,,,,,,,,,,,67,,25.68,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSCN 11455,08/10,NAVIRAI JUMBO,,CSCN 8028,-0.44,37,51%,56.04,52,91%,88.15,46,6%,2.58,44,13%,,,,,,12%,,,,,,,,,19.48,69,10%,,,,,,,,,,,,,36,,17.46,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
