nome_touro,registro,ano_nasc,var_mocha,pelagem,categoria,criador_codigo,fornecedor_semen_cod,reb_desm,nf_desm,pn_dep,pn_acuracia,pn_percentil,gnd_direto_dep,gnd_direto_acuracia,gnd_direto_percentil,gnd_materno_dep,gnd_materno_acuracia,gnd_materno_percentil,netos,conformacao_desm_dep,conformacao_desm_percentil,precocidade_desm_dep,precocidade_desm_percentil,musculatura_desm_dep,musculatura_desm_percentil,tamanho_desm_dep,tamanho_desm_percentil,pelame_desm_dep,pelame_desm_percentil,indice_desmama,indice_desmama_percentil,reb_sobreano,nf_sobreano,gds_dep,gds_acuracia,gds_percentil,gns_dep,gns_percentil,conformacao_sobr_dep,conformacao_sobr_percentil,precocidade_sobr_dep,precocidade_sobr_percentil,musculatura_sobr_dep,musculatura_sobr_percentil,tamanho_sobr_dep,tamanho_sobr_percentil,pelame_sobr_dep,pelame_sobr_percentil,perimetro_escrotal_dep,perimetro_escrotal_acuracia,perimetro_escrotal_percentil,indice_final,indice_final_percentil
LAS LILAS 1659 SOTEIN NAYMEJOR TE SOBRADOR,IA-1254,2006,,V,IMP,,,3,36,"-2,77","0,41",1,"1,16","0,47",58,"1,39","0,04",13,7,"0,06",52,"0,08",43,"0,12",29,"-0,13",94,"-0,13",6,"3,95",57,3,32,"-0,9","0,18",78,"0,26",68,"0,05",55,"0,04",56,"0,12",35,"-0,11",91,"-0,1",14,"0,78","0,39",8,"3,88",56
ALIANÇA EDE YH 148,O139806,2007,,V,PO,16258,,1,48,"0,05","0,52",45,"1,07","0,51",59,"0,46","0,22",30,28,"0,1",38,"0,11",34,"0,15",22,"0,16",15,0,49,"5,24",53,1,40,"-0,41","0,31",71,"0,66",65,"0,1",40,"0,1",35,"0,16",26,"0,11",27,0,54,"0,01","0,34",62,"3,85",56
PFFR CONVOY 9Z,IA-1644,2012,,V,IMP,,,5,79,"0,17","0,26",55,"1,39","0,57",55,"0,16","0,01",38,1,"-0,01",74,"0,02",62,0,73,"0,03",53,"0,04",73,"2,17",63,5,65,"0,83","0,29",52,"2,21",55,"0,05",57,"0,14",23,"0,1",40,"0,09",32,"0,04",74,"0,34","0,5",31,"3,83",57
TRES MARIAS 9549 MAXIMO 7858 TE MAXIMO,IA-1527,2012,,P,IMP,,,11,295,"2,44","0,73",99,"4,65","0,73",23,,,,,"0,15",22,"0,18",17,"0,17",18,"0,05",45,"0,11",94,"15,91",21,9,173,"-3,07","0,4",96,"1,58",59,"0,1",41,"0,1",34,"0,12",36,"-0,03",75,"0,14",95,"-0,52","0,59",94,"3,81",57
UMBU 1922 BRIGADIER,O150819,2011,,V,PO,99,T,19,545,"0,17","0,81",55,"3,1","0,81",36,"-2,29","0,26",92,26,"0,12",30,"0,17",20,"0,15",23,"0,04",51,"0,01",57,"11,04",34,15,319,"-2,01","0,54",89,"1,09",62,"0,06",54,"0,06",45,"0,1",40,"-0,06",83,"0,02",62,"0,04","0,73",59,"3,8",57
DOS TAPES BW97 JUNCAL WHITSTONE 5029,O131043,2008,,P,PO,5949,,1,21,"-0,38","0,36",17,"0,13","0,39",68,,,,,"-0,01",75,"0,1",34,"0,05",56,"-0,13",93,"-0,02",37,"-1,02",72,1,19,"3,5","0,24",21,"3,63",46,0,72,"0,1",33,"0,05",55,"-0,11",91,"-0,06",26,"-0,11","0,31",75,"3,72",57
SANTO ANTÃO DON LEO 703,O156967,2012,,P,PO,14982,,2,41,,,,"1,62","0,55",53,"-0,37","0,15",64,4,"0,07",49,"0,22",11,"0,11",34,"-0,04",78,"-0,04",28,"5,46",52,2,33,"-1,34","0,33",83,"0,28",67,"0,07",48,"0,23",10,"0,15",29,"-0,02",71,"-0,02",39,"0,54","0,5",18,"3,72",57
SANTA JOANA FULLBACK 24TE,O164313,2001,,P,PO,15398,,3,83,"1,67","0,59",99,"6,53","0,59",11,"-2,31","0,16",92,33,"0,09",41,"0,34",3,"0,27",5,"0,01",60,"-0,06",22,"18,35",16,3,70,"-3,55","0,35",97,"2,98",50,"-0,07",89,"0,15",22,"0,2",16,"-0,04",75,"-0,04",33,"0,38","0,48",28,"3,69",57
RINCON 1544 ZORZAL DEL SARANDY,O135024,2009,,P,PO,7287,,2,60,"1,46","0,6",98,"0,42","0,59",66,"-1,98","0,2",89,15,"0,14",23,"0,13",28,"0,1",38,"0,13",22,"0,03",67,"5,37",52,2,57,"0,08","0,4",63,"0,5",66,"0,06",53,"0,01",64,"0,05",57,"0,04",48,"0,01",60,"-0,1","0,55",73,"3,63",58
AHL ABOUT TIME 113Y,IA-1428,2011,,V,IMP,,,4,62,"-0,59","0,31",11,"1,77","0,49",51,"-0,03","0,01",56,1,"-0,01",75,"0,15",22,"0,05",55,"0,09",32,"0,07",86,"2,97",59,3,41,"2,42","0,23",32,"4,19",42,0,71,"0,15",20,"0,06",52,"0,09",31,"0,06",81,"-0,3","0,33",87,"3,63",58
